Coordination Number
41
15
18
9
12
17
14
17
13
17
13
14
15
14
1
12
15
11
12
13
12
15
14
0
13
2
1
14
13
16
14
14
10
12
1
10
13
12
13
16
11
15
16
12
18
0
14
16
14
13
1
15
19
15
15
19
15
13
14
16
13
14
12
13
14
15
12
14
13
17
13
18
20
16
13
17
15
13
13
12
10
16
14
12
13
14
13
2
13
13
14
16
17
13
0
13
13
15
15
15
12
15
12
12
15
15
16
11
15
12
12
15
12
19
15
12
14
18
12
13
13
14
13
14
14
19
3
16
14
14
15
13
14
13
14
16
15
15
13
12
20
15
17
14
15
14
12
17
17
14
13
11
2
20
13
13
19
16
12
14
14
16
16
13
15
15
16
11
17
11
10
13
14
15
13
16
15
14
12
13
19
14
17
1
13
14
16
11
11
2
16
15
15
2
15
15
14
1
14
11
16
14
16
16
13
15
14
14
0
0
15
17
15
12
13
12
16
13
17
15
13
12
15
17
0
17
11
17
17
17
11
14
14
1
12
17
15
12
12
14
15
11
17
12
16
18
13
1
18
14
14
14
14
14
1
15
15
15
14
14
21
17
14
17
13
13
15
15
3
11
14
15
15
12
18
12
15
14
14
2
17
14
16
14
15
12
1
1
14
13
5
14
16
15
10
15
13
16
15
17
12
14
14
10
15
16
1
14
11
12
14
11
14
11
14
14
10
15
13
13
12
16
12
14
13
14
13
16
13
0
13
19
16
14
13
13
0
13
11
16
16
12
14
15
15
18
19
12
15
13
12
13
17
14
12
15
12
16
12
13
15
14
14
0
16
13
16
12
15
15
0
9
19
14
12
14
15
13
14
15
12
18
18
13
1
12
12
15
10
10
13
15
13
16
12
1
17
13
17
15
16
16
15
10
12
15
12
14
14
15
12
2
9
11
15
12
14
14
15
13
16
15
16
14
14
11
16
13
16
14
17
17
14
12
17
13
17
16
13
13
15
14
12
14
16
13
20
12
16
14
0
14
0
13
15
15
14
14
13
16
14
11
14
13
15
12
13
13
16
13
13
14
14
14
15
17
14
13
16
14
14
15
12
15
13
14
15
14
13
17
15
16
15
12
14
15
12
14
17
11
14
17
13
11
14
20
15
16
16
13
14
12
13
12
14
9
14
16
16
17
14
13
15
13
0
0
10
16
14
22
12
11
16
15
14
15
15
11
14
15
15
13
16
13
18
11
13
14
17
11
2
0
13
17
19
13
2
0
18
18
0
16
15
13
0
19
13
2
13
18
15
11
17
19
17
16
15
12
12
16
22
14
14
16
18
15
15
11
14
14
15
11
11
14
19
14
14
13
14
19
14
16
17
11
12
16
13
13
19
16
11
12
14
12
12
13
13
2
15
13
15
14
15
13
13
15
0
18
18
16
18
15
13
17
17
14
16
10
14
15
14
11
15
14
20
19
10
10
15
14
16
13
12
13
15
12
13
17
1
13
14
12
21
13
15
2
0
14
14
9
13
15
14
11
13
2
12
11
17
11
11
14
14
14
15
2
13
11
15
13
15
14
2
12
11
17
15
12
12
15
15
16
14
22
13
16
11
13
0
15
17
0
12
15
11
12
2
12
14
22
14
19
14
14
15
15
10
17
13
14
14
12
19
11
15
13
16
16
17
1
16
17
13
15
12
15
15
14
14
14
8
2
16
15
10
15
14
12
17
16
2
0
15
16
16
12
13
14
11
17
11
14
13
14
16
8
15
12
10
14
15
17
12
1
13
15
1
11
11
15
15
10
12
0
16
13
12
15
1
15
13
11
15
14
13
17
16
15
13
0
15
13
14
15
16
15
16
11
16
13
1
15
14
11
13
0
16
12
17
18
2
16
0
13
12
12
13
13
16
17
12
14
14
15
15
11
12
16
15
2
14
11
14
13
13
15
14
15
1
16
15
19
14
14
14
14
14
15
15
12
13
1
13
14
8
13
0
13
17
14
1
15
14
16
12
15
16
14
17
11
15
18
16
12
13
14
12
16
12
14
1
16
13
14
16
13
12
15
13
13
14
18
16
14
15
14
14
17
13
12
10
18
12
9
14
0
11
13
18
11
14
15
11
12
12
11
11
12
25
24
22
28
22
24
23
21
20
21
21
20
23
21
20
22
22
17
22
22
21
23
21
25
21
21
23
18
19
19
18
19
21
17
21
18
19
19
18
21
19
19
21
19
18
23
20
20
25
20
21
22
21
19
17
20
19
21
18
19
20
17
19
19
19
21
17
22
21
20
19
20
21
24
22
20
16
20
18
17
19
20
18
20
19
20
18
16
18
21
20
20
18
21
18
20
24
25
21
23
21
19
19
18
18
20
17
18
21
20
20
18
17
18
19
19
18
20
19
18
22
24
20
24
21
17
20
18
17
19
21
19
22
20
21
16
19
19
19
18
18
22
21
19
25
21
20
20
19
17
17
19
17
19
19
20
18
18
18
18
19
20
19
18
20
22
16
17
19
19
18
17
15
17
16
18
18
17
17
17
18
18
18
16
17
18
17
17
16
17
18
17
20
19
21
18
17
16
17
17
18
16
15
17
18
15
17
18
17
18
17
18
18
19
19
18
18
18
19
18
17
18
16
18
14
16
17
16
15
15
16
17
15
16
17
16
17
18
18
18
19
22
21
20
18
16
17
16
16
17
18
18
17
16
17
16
17
18
17
18
16
17
18
18
24
21
22
21
18
18
18
17
17
16
18
18
16
16
18
16
17
17
19
17
18
18
16
17
20
19
20
19
18
19
19
19
19
18
21
20
17
18
18
19
18
19
18
18
18
18
19
19
18
19
17
17
15
16
17
17
17
17
17
17
17
16
16
15
15
16
16
16
18
18
20
17
19
18
18
20
18
18
17
17
19
18
16
17
17
17
17
17
19
19
17
17
17
18
17
17
20
19
19
19
18
17
17
17
15
16
15
15
17
17
16
16
18
17
15
17
18
16
18
18
21
20
19
17
19
17
16
17
14
16
16
16
17
17
17
15
18
17
19
18
16
17
19
18
22
18
20
19
16
19
17
17
18
18
18
19
18
16
17
17
17
17
18
17
17
16
19
17
20
19
22
23
19
18
20
18
18
20
18
21
19
19
19
18
20
19
21
20
19
20
19
21
20
18
18
19
16
18
18
17
17
18
18
17
18
17
17
17
16
16
18
16
18
18
18
19
18
17
18
17
16
16
19
17
17
18
17
18
18
16
16
19
18
19
20
18
17
16
16
19
18
19
16
17
17
17
17
16
16
17
15
17
15
13
18
17
16
17
19
17
16
19
17
18
19
17
20
20
18
18
17
17
17
17
16
16
17
16
16
16
15
15
17
17
17
18
18
17
19
17
20
18
18
18
17
16
17
18
16
15
18
16
17
18
17
18
17
16
17
19
17
19
22
23
23
26
19
20
18
20
22
21
19
18
18
18
18
18
21
18
21
19
17
17
19
20
22
19
20
20
19
17
17
18
15
17
18
16
17
17
16
17
18
17
18
17
16
19
16
18
18
19
18
19
19
18
17
18
17
17
17
17
17
18
17
17
17
16
15
16
17
16
16
17
17
18
19
18
20
16
18
18
17
17
16
18
18
16
18
16
17
19
17
15
17
17
16
17
17
20
21
18
18
17
18
16
17
16
16
17
17
19
17
18
17
17
18
17
17
19
18
17
22
20
20
18
16
18
17
16
16
16
16
16
16
17
17
17
15
16
16
17
18
17
19
20
25
22
24
22
21
21
19
19
19
17
19
20
20
19
19
22
18
19
18
16
20
24
17
22
19
20
21
20
17
17
17
16
17
17
18
17
20
16
16
17
18
19
16
15
17
19
18
19
22
19
22
21
19
17
19
18
16
18
18
17
17
18
18
18
18
16
16
18
18
18
18
19
19
19
19
19
17
16
16
18
16
16
18
18
16
18
18
17
17
15
17
17
18
18
17
18
17
18
22
20
19
17
18
19
18
17
17
19
17
16
19
17
16
17
17
16
16
18
16
18
19
20
19
18
16
17
17
16
17
17
18
18
17
18
17
17
16
18
17
18
18
19
20
17
