time,nonsense,msd
180.000,129539.99194,1295.39992
181.000,129230.68212,1292.30682
182.000,131138.43337,1311.38433
183.000,131173.74340,1311.73743
184.000,131802.04147,1318.02041
185.000,132188.75794,1321.88758
186.000,131895.56670,1318.95567
187.000,132477.17069,1324.77171
188.000,130957.15527,1309.57155
189.000,129085.44980,1290.85450
190.000,128508.57766,1285.08578
191.000,128704.62545,1287.04625
192.000,130713.10522,1307.13105
193.000,131002.53272,1310.02533
194.000,132107.77479,1321.07775
195.000,132923.56511,1329.23565
196.000,133074.34432,1330.74344
197.000,134726.71118,1347.26711
198.000,133925.82153,1339.25822
199.000,133253.21977,1332.53220
200.000,133621.34912,1336.21349
201.000,135212.23526,1352.12235
202.000,135258.82917,1352.58829
203.000,134541.68728,1345.41687
204.000,133791.46064,1337.91461
205.000,133081.39374,1330.81394
206.000,133262.61310,1332.62613
207.000,133849.23526,1338.49235
208.000,134245.10865,1342.45109
209.000,133367.68399,1333.67684
210.000,134139.06205,1341.39062
211.000,135388.46036,1353.88460
212.000,135923.22701,1359.23227
213.000,136983.46608,1369.83466
214.000,137006.13030,1370.06130
215.000,138193.72418,1381.93724
216.000,139006.03565,1390.06036
217.000,140642.83107,1406.42831
218.000,140301.03147,1403.01031
219.000,138674.41910,1386.74419
220.000,138596.84337,1385.96843
221.000,139442.79318,1394.42793
222.000,138733.95937,1387.33959
223.000,136500.09691,1365.00097
224.000,136533.54605,1365.33546
225.000,136054.20867,1360.54209
226.000,136122.44494,1361.22445
227.000,137603.17661,1376.03177
228.000,137002.08357,1370.02084
229.000,136657.33857,1366.57339
230.000,138013.89925,1380.13899
231.000,139984.63919,1399.84639
232.000,139009.32046,1390.09320
233.000,138391.13590,1383.91136
234.000,137803.14261,1378.03143
235.000,136777.20287,1367.77203
236.000,137381.37262,1373.81373
237.000,138964.69381,1389.64694
238.000,138796.97545,1387.96975
239.000,138879.44797,1388.79448
240.000,138859.09116,1388.59091
241.000,139374.51276,1393.74513
242.000,141313.02367,1413.13024
243.000,141592.08927,1415.92089
244.000,141300.96581,1413.00966
245.000,142254.60041,1422.54600
246.000,140674.15729,1406.74157
247.000,140636.92490,1406.36925
248.000,140579.25619,1405.79256
249.000,141206.24272,1412.06243
250.000,142821.55179,1428.21552
251.000,143628.40157,1436.28402
252.000,143767.53543,1437.67535
253.000,144081.78525,1440.81785
254.000,144035.73316,1440.35733
255.000,144159.28875,1441.59289
256.000,143416.54290,1434.16543
257.000,141774.38847,1417.74388
258.000,144521.90995,1445.21910
259.000,145734.47891,1457.34479
260.000,148078.30231,1480.78302
261.000,149268.44190,1492.68442
262.000,149641.11984,1496.41120
263.000,149851.36772,1498.51368
264.000,149248.78840
